encoding,strategy,precision,recall,f1,auc
decl,IA,0.8644008714596949,0.9965437788018433,0.9174564325279255,0.9753484945687222
decl,Declare,0.9185280709226571,0.97987012987013,0.9446650291817834,0.9923372901115308
decl,IA+MR,0.983383505351682,0.9539798910766654,0.9678467361087852,0.9953493483940329
decl,IA+TR,0.8833258110399913,0.9954231252618349,0.9215528247385408,0.9783769729270205
decl,IA+TRA,0.8795870425321464,0.994271051529116,0.9235755768325223,0.9805167810096188
decl,IA+MRA,0.9841659519725559,0.9787180561374109,0.9814102564102565,0.9976111366590308
decl,Hybrid,0.516727477591969,0.7760097429452268,0.5717433236999514,0.46975286803896565
decl,Payload,0.7565682099762983,0.6829251393767523,0.6611066599211235,0.866520439861262
decl,Data+IA,0.864498941425547,0.9867511520737327,0.9131528815288152,0.9734252831388056
decl,Data+Declare,0.9853666009239713,0.9907834101382488,0.9880598317308937,0.9923581514842509
decl,Data+IA+MR,0.9778642047106718,0.9464914118139925,0.9602925340990669,0.9915110311522257
decl,Data+IA+TR,0.8819955293639505,0.9913908671973188,0.9199154908676246,0.9800277239825087
decl,Data+IA+TRA,0.8762509933864038,0.9890867197318811,0.9210172611666115,0.9785508961808286
decl,Data+IA+MRA,0.980959307468443,0.9764453288646837,0.9775451724496311,0.9940237812448998
decl,Data+Hybrid,0.5998042923463092,0.5765962532091564,0.3949404265002658,0.45720565971591365
decl,Declare Data Aware,0.967311061061061,0.9726958525345621,0.9677249119580325,0.9889979703979078
decl,Payload+Declare Data Aware,0.9901982748963818,1.0,0.9950444146125503,0.9948901379662749
decl,Hybrid+Declare Data Aware,0.4669658260083792,0.49842943794556693,0.47926060668169707,0.5916269996745378
decl,Hybrid+Payload+Declare Data Aware,0.7322745712705145,0.6874319229157939,0.6511372542571673,0.6629569146794326
mr_tr,IA,0.9022638753651412,0.8550685975609756,0.8693043255037864,0.9423971712290261
mr_tr,Declare,0.91,0.9085365853658537,0.8897849462365591,0.9563789868667918
mr_tr,IA+MR,0.9984177215189873,0.9953125,0.9968553459119497,0.998545545212766
mr_tr,IA+TR,0.9984177215189873,0.9953125,0.9968553459119497,0.998545545212766
mr_tr,IA+TRA,0.9984177215189873,0.9892149390243903,0.9937689261588633,0.9954967647249611
mr_tr,IA+MRA,0.9706399437412095,0.970922256097561,0.9677142416174711,0.9953469314958595
mr_tr,Hybrid,0.31502331778814124,0.0912490761271249,0.13152390058894514,0.5205112400846248
mr_tr,Payload,0.7088522558480952,0.7087699402562208,0.7036643072138383,0.877457068760449
mr_tr,Data+IA,0.8611111111111112,0.8581173780487805,0.8590798525331611,0.9326471948613717
mr_tr,Data+Declare,0.9705882352941176,0.9603658536585366,0.962962962962963,0.9920653533458411
mr_tr,Data+IA+MR,0.9984177215189873,0.9953125,0.9968553459119497,0.998545545212766
mr_tr,Data+IA+TR,0.9983974358974359,0.9921875,0.995253164556962,0.9969830452127659
mr_tr,Data+IA+TRA,0.9983974358974359,0.9830411585365854,0.9905947794637943,0.993934264724961
mr_tr,Data+IA+MRA,0.9753914057295137,0.9739710365853659,0.9707817262800479,0.9926499333720321
mr_tr,Data+Hybrid,0.24019409696867766,0.41939024390243906,0.2592992186511147,0.596304489354283
mr_tr,Declare Data Aware,0.8584656084656085,1.0,0.9012915129151291,0.9428418803418803
