timestamp,Classifier,Dataset,Labelling,Encoding,Prec_fold0,Rec_fold0,F1_fold0,AUC_fold0,Prec_fold1,Rec_fold1,F1_fold1,AUC_fold1,Prec_fold2,Rec_fold2,F1_fold2,AUC_fold2
2022-08-16 16:52:58.839888,dt,sepsis,decl,baseline,0.8962962962962963,0.9918032786885246,0.9416342412451362,0.9659548461317228,0.8133333333333334,1.0,0.8970588235294117,0.9385964912280702,0.7960526315789473,1.0,0.8864468864468864,0.9323144104803494
2022-08-16 16:53:06.851834,dt,sepsis,decl,mr,0.9917355371900827,0.9917355371900827,0.9917355371900827,0.9967339131690064,0.9384615384615385,1.0,0.9682539682539683,0.9937446074201898,0.9915254237288136,0.9590163934426229,0.9749999999999999,0.9812158469945355
2022-08-16 16:53:13.770668,dt,sepsis,decl,mra,0.9917355371900827,0.9917355371900827,0.9917355371900827,0.9974917896712259,0.9836065573770492,0.9836065573770492,0.9836065573770492,0.9874173137762439,0.9833333333333333,0.9672131147540983,0.9752066115702478,0.989124964049468
2022-08-16 16:53:19.579471,dt,sepsis,decl,tr,0.8120805369127517,1.0,0.8962962962962964,0.9404525605398968,0.8356164383561644,1.0,0.9104477611940298,0.9473684210526315,0.8561151079136691,0.9754098360655737,0.9118773946360154,0.9502624388840955
2022-08-16 16:53:25.330963,dt,sepsis,decl,tra,0.8108108108108109,0.9917355371900827,0.892193308550186,0.9298062001515753,0.8079470198675497,1.0,0.8937728937728937,0.9390099223468508,0.8561151079136691,0.9754098360655737,0.9118773946360154,0.9526171987345413
2022-08-16 16:53:47.913026,dt,sepsis,decl,declare,1.0,0.9918032786885246,0.9958847736625513,0.9959016393442623,0.991869918699187,1.0,0.9959183673469388,0.9978070175438596,0.9918032786885246,1.0,0.9958847736625513,0.9978165938864628
2022-08-16 16:54:20.643063,dt,sepsis,decl,hybrid,1.0,0.9917355371900827,0.995850622406639,0.9958677685950413,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2022-08-16 16:54:26.995245,dt,sepsis,decl,payload,0.7142857142857143,0.819672131147541,0.7633587786259541,0.8966601955708946,0.6848484848484848,0.9262295081967213,0.7874564459930313,0.8762402933563417,0.6708074534161491,0.8925619834710744,0.7659574468085106,0.8790645638601176
2022-08-16 16:54:33.208031,dt,sepsis,decl,dwd,0.967479674796748,0.9754098360655737,0.9714285714285714,0.987111734253667,0.9666666666666667,0.9508196721311475,0.9586776859504132,0.9886935576646535,0.9583333333333334,0.9504132231404959,0.9543568464730291,0.9941715688043596
2022-08-16 16:54:39.214310,dt,sepsis,decl,bs_data,0.8120805369127517,1.0,0.8962962962962964,0.9388646288209608,0.8439716312056738,0.9754098360655737,0.9049429657794678,0.9541091458153581,0.8561151079136691,0.9754098360655737,0.9118773946360154,0.9424791486914006
2022-08-16 16:54:49.081894,dt,sepsis,decl,mr_data,0.9338842975206612,0.9338842975206612,0.9338842975206612,0.9920242520480711,0.9603174603174603,0.9918032786885246,0.9758064516129032,0.994265890135174,0.9824561403508771,0.9180327868852459,0.9491525423728813,0.9742594190394019
2022-08-16 16:54:58.252252,dt,sepsis,decl,mra_data,0.9917355371900827,0.9917355371900827,0.9917355371900827,0.9967339131690064,0.983739837398374,0.9918032786885246,0.9877551020408164,0.9915156744319816,0.9830508474576272,0.9508196721311475,0.9666666666666667,0.9740796663790624
2022-08-16 16:55:06.166122,dt,sepsis,decl,tr_data,0.8108108108108109,0.9917355371900827,0.892193308550186,0.9347143527373778,0.8591549295774648,1.0,0.9242424242424242,0.9545405522001725,0.8561151079136691,0.9754098360655737,0.9118773946360154,0.9424791486914006
2022-08-16 16:55:12.960499,dt,sepsis,decl,tra_data,0.8163265306122449,0.9917355371900827,0.8955223880597015,0.938160886354614,0.8531468531468531,1.0,0.9207547169811321,0.9513409548461317,0.8581560283687943,0.9918032786885246,0.920152091254753,0.9569312625826862
2022-08-16 16:55:37.097579,dt,sepsis,decl,dc_data,1.0,0.9917355371900827,0.995850622406639,0.9958677685950413,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2022-08-16 16:56:03.313829,dt,sepsis,decl,dc_dwd_payload,1.0,0.9917355371900827,0.995850622406639,0.9958677685950413,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2022-08-16 16:56:37.721468,dt,sepsis,decl,hybrid_data,1.0,0.9917355371900827,0.995850622406639,0.9958677685950413,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2022-08-16 16:57:12.183768,dt,sepsis,decl,hybrid_dwd,1.0,0.9917355371900827,0.995850622406639,0.9958677685950413,1.0,1.0,1.0,1.0,1.0,0.9918032786885246,0.9958847736625513,0.9959016393442623
2022-08-16 16:57:49.951378,dt,sepsis,decl,hybrid_dwd_payload,1.0,0.9917355371900827,0.995850622406639,0.9958677685950413,1.0,1.0,1.0,1.0,1.0,0.9918032786885246,0.9958847736625513,0.9959016393442623
2022-08-16 16:57:54.743994,dt,sepsis,mr_tr,baseline,0.4419889502762431,0.8791208791208791,0.5882352941176471,0.7930332216046502,0.4270833333333333,0.9111111111111111,0.5815602836879432,0.766431623931624,0.4131455399061033,0.9777777777777777,0.5808580858085808,0.7732905982905983
2022-08-16 16:58:01.412233,dt,sepsis,mr_tr,mr,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
