Classifier,Dataset,Labelling,Encoding,Prec_fold0,Rec_fold0,F1_fold0,AUC_fold0,Prec_fold1,Rec_fold1,F1_fold1,AUC_fold1,Prec_fold2,Rec_fold2,F1_fold2,AUC_fold2
dt,sepsis,decl,baseline,0.8962962962962963,0.9918032786885246,0.9416342412451362,0.9651998849582974,0.7870967741935484,1.0,0.8808664259927798,0.9276675294794363,0.7960526315789473,1.0,0.8864468864468864,0.9323144104803494
dt,sepsis,decl,bs_data,0.8120805369127517,1.0,0.8962962962962964,0.9388646288209608,0.8356164383561644,1.0,0.9104477611940298,0.9473684210526316,0.8561151079136691,0.9754098360655737,0.9118773946360154,0.9419219154443486
dt,sepsis,decl,dc_data,1.0,0.9917355371900827,0.995850622406639,0.9958677685950413,1.0,1.0,1.0,1.0,1.0,0.9918032786885246,0.9958847736625513,0.9959016393442623
dt,sepsis,decl,dc_dwd_payload,1.0,0.9917355371900827,0.995850622406639,0.9958677685950413,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dt,sepsis,decl,declare,1.0,0.9918032786885246,0.9958847736625513,0.9959016393442623,0.991869918699187,1.0,0.9959183673469388,0.9978070175438596,0.9918032786885246,1.0,0.9958847736625513,0.9978165938864628
dt,sepsis,decl,dwd,0.9672131147540983,0.9672131147540983,0.9672131147540983,0.9951646534368708,0.9022556390977443,0.9836065573770492,0.9411764705882353,0.9943018406672419,0.9663865546218487,0.9504132231404959,0.9583333333333334,0.9685481251578909
dt,sepsis,decl,hybrid,1.0,0.9917355371900827,0.995850622406639,0.9958677685950413,1.0,1.0,1.0,1.0,1.0,0.9918032786885246,0.9958847736625513,0.9959016393442623
dt,sepsis,decl,hybrid_data,1.0,0.9917355371900827,0.995850622406639,0.9958677685950413,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dt,sepsis,decl,hybrid_dwd,1.0,0.9917355371900827,0.995850622406639,0.9958677685950413,1.0,1.0,1.0,1.0,1.0,0.9918032786885246,0.9958847736625513,0.9959016393442623
dt,sepsis,decl,hybrid_dwd_payload,1.0,0.9917355371900827,0.995850622406639,0.9958677685950413,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dt,sepsis,decl,mr,0.9917355371900827,0.9917355371900827,0.9917355371900827,0.9935039156952615,0.9384615384615385,1.0,0.9682539682539683,0.9924144377336784,0.9827586206896551,0.9344262295081968,0.9579831932773109,0.9691184929536957
